水泥類
    C011010,水泥
    C011011,水泥製品   
    C025012,預拌混凝土   
    C099192,高爐水泥   
     ,
食品飲料類    
    C012011,方便麵   
    C012014,乳製品   
    C012015,調味品   
    C012016,食品加工   
    C012017,罐頭   
    C012024,肉品加工   
    C012029,農產品加工   
    C012030,麵製品相關   
    C012031,水產品加工   
    C012032,糖果製品   
    C012033,保健食品   
    C012034,可可製品   
    C012035,穀類烘焙製品   
    C012036,磨粉製品   
    C012038,調理食品   
    C012039,茶葉與咖啡相關   
    C012040,寵物食品   
    C012043,餅乾製品   
    C012044,食品添加劑   
    C012012,製糖   
    C012020,大宗物資   
    C012021,面粉   
    C012022,油脂   
    C017240,製鹽   
    C012013,非酒精飲料   
    C012019,釀酒   
    C012026,啤酒   
    C012027,紅酒   
    C012028,白酒   
    C012041,飲料相關   
    C012042,蒸餾酒   
     ,
石化類    
    C013010,PVC   
    C013030,PE   
    C013040,DOP   
    C013050,芳香烴   
    C013060,SM   
    C013070,ABS   
    C013080,PS   
    C013090,塑膠皮布   
    C013110,PP   
    C013130,烯烴   
    C013180,塑膠加工   
    C013190,PA   
    C013192,瀝青   
    C013990,石化業   
    C017083,EVA   
     ,
紡織類    
    C013120,AN   
    C014010,聚酯纖維   
    C014011,聚酯絲   
    C014012,聚酯加工絲   
    C014013,聚酯棉   
    C014014,紡織用聚酯粒   
    C014015,瓶用聚酯粒   
    C014016,寶特瓶   
    C014031,尼龍粒   
    C014032,尼龍加工絲   
    C014033,尼龍絲   
    C014050,亞克力棉   
    C014051,亞克力紗   
    C014060,化纖原料   
    C014061,EG   
    C014062,PTA   
    C014063,CPL   
    C014064,粘膠   
    C014065,氨綸   
    C014066,芳綸   
    C014067,丙綸   
    C014068,再生纖維   
    C014069,半合成纖維   
    C014180,成衣   
    C014181,成衣製造   
    C014182,成衣銷售／零售   
    C014183,內衣褲、襪   
    C014030,尼龍製品   
    C014140,羊毛   
    C014150,加工絲   
    C014170,毛紡   
    C014171,麻紡   
    C014172,絲織品   
    C014173,混紡紗   
    C014190,染整   
    C014200,織布   
    C014201,無紡布   
    C014202,棉紡   
    C014203,魚網   
    C014204,聚酯紗   
    C014205,純棉紗   
    C014206,尼龍塔夫塔   
    C014207,粘扣帶   
    C014208,羽絨加工   
    C014210,工業用布   
    C014990,紡織中游   
     ,
電機機械類    
    C015080,工具機   
    C015081,龍門機   
    C015090,壓縮機   
    C015100,木工機械   
    C015101,紡織機械   
    C015104,手持工具   
    C015108,空調冷氣設備   
    C015110,產業機械   
    C015111,塑膠機械   
    C015112,橡膠機械   
    C015113,包裝機械   
    C015115,通用機械   
    C015116,動力機械   
    C015120,工程機械   
    C015130,農用機械   
    C015140,機械零組件   
    C015141,磨料磨具   
    C015150,造船   
    C015151,飛機零件／製造   
    C015152,工業電機   
    C015153,家用縫紉機   
    C015154,模具   
    C015155,軌道運輸設備   
    C015156,工業用縫紉機   
    C015160,自動化儀器   
    C015170,柴油機   
    C015180,機器人   
    C015201,單車零件   
    C015202,儀器、儀表   
    C015204,污染控制設備   
    C015205,裝載機   
    C015206,醫療保健設備／裝置   
    C015207,海洋工程設備   
    C015770,機械   
    C026070,貨櫃製造   
    C015020,電機   
    C015021,重型電氣設備   
    C015022,電氣零件與設備   
    C015023,鍋爐   
    C015024,變電設備   
    C015025,輸配電設備   
    C015026,電氣開關設備   
    C015027,電氣自控設備   
    C015028,車用充電相關   
    C015102,配電工程   
    C015103,蓄電池相關   
    C015106,配電盤   
    C015107,幫浦   
    C015109,變頻器   
    C015203,電力配送服務   
    C015990,電力設備   
     ,
電器電纜類    
    C015010,小家電   
    C015011,電視機   
    C015012,電雪櫃   
    C015013,洗衣機   
    C015014,冷氣機   
    C015015,音響/視聽組合   
    C015016,電器銷售   
    C015060,照明   
    C015061,家電零組件   
    C015880,家電   
    C016010,電線電纜   
    C016011,同軸電纜   
    C016012,電子線   
    C016013,漆包線   
    C016014,裸銅線   
    C016016,電纜連接件及附件   
    C016017,電力電纜   
     ,
化學工業類    
    C017490,電池材料相關   
    C017495,正極材料   
    C017496,負極材料   
    C017497,電解液   
    C017498,電池隔離膜   
    C013150,溶劑   
    C013160,烷基苯   
    C013170,正烷屬烴   
    C013171,石蠟   
    C013172,PVC布   
    C013173,工業氣體   
    C017030,衛生清潔用品   
    C017040,染料，顏料   
    C017050,農藥   
    C017051,草甘膦   
    C017055,肥料   
    C017060,膠帶   
    C017080,合成樹脂   
    C017081,PU樹脂   
    C017120,鹼業   
    C017130,保險粉   
    C017140,硝化棉   
    C017160,熱溶膠   
    C017170,碳酸鋇   
    C017180,石墨   
    C017190,磷化工   
    C017200,炸藥   
    C017210,尿素   
    C017220,硝酸銀   
    C017230,拋光蠟   
    C017250,鈦白粉   
    C017260,氟化物   
    C017270,煤化工   
    C017280,丁二醇   
    C017290,二甲基甲醯胺(DMF)   
    C017300,磷酸二銨(DAP)   
    C017310,磷酸一銨(MAP)   
    C017320,MDI   
    C017330,TDI   
    C017340,有機硅   
    C017350,雙酚A   
    C017360,硫磺   
    C017370,黃磷   
    C017380,環氧丙烷   
    C017390,醋酸   
    C017391,酚   
    C017491,氣凝膠   
    C017492,石油支撐劑   
    C017493,化學產品通路   
    C017494,強酸產品   
    C017499,草酸   
    C017880,化學工業   
    C017990,其它化工產品   
    C018011,涂料   
    C021010,輪胎   
    C021050,橡膠製品   
    C021060,碳煙   
    C021070,合成橡膠   
    C021080,油封   
    C021090,天然橡膠   
    C021100,熱可塑橡膠   
    C021110,乳膠相關   
    C021990,橡膠工業   
     ,
建材居家用品類    
    C015030,電梯   
    C018010,建材   
    C018012,輕鋼架   
    C018013,複合板   
    C018014,金屬建材   
    C018020,玻璃   
    C018040,釉料   
    C018070,岩棉   
    C018990,陶瓷   
    C014209,地毯   
    C018030,家居用品   
    C018031,辦公傢俱   
    C018050,衛浴設備   
    C018060,廚具   
    C099130,家具   
    C099131,門用金屬   
    C099132,窗帘   
    C099133,水龍頭   
    C099180,鎖   
    C099193,寢具   
     ,
造紙類    
    C019010,紙漿   
    C019020,工業用紙   
    C019030,文化用紙   
    C019040,家庭用紙   
    C019050,包裝用紙   
    C019060,特殊用紙   
    C019990,造紙業   
     ,
鋼鐵金屬類    
    C020021,螺絲、螺帽   
    C020030,線材、盤元   
    C020040,鋼筋   
    C020050,條鋼   
    C020060,型鋼   
    C020070,鋼架構   
    C020080,鋼管   
    C020150,棒鋼   
    C020110,不鏽鋼   
    C020114,冷軋不鏽鋼   
    C020115,熱軋不鏽鋼   
    C020116,不鏽鋼品   
    C020117,不鏽鋼剪裁加工   
    C020118,不鏽鋼管   
    C020119,不鏽鋼緊固件   
    C020121,不鏽鋼線材   
    C020111,合金鋼   
    C020112,特殊鋼   
    C020113,工具鋼   
    C020130,非鐵金屬   
    C020131,銅   
    C020132,鋁   
    C020133,鎳   
    C020135,鉭   
    C020137,鎢   
    C020138,鋅   
    C020139,鈦   
    C020140,鋯   
    C020141,錫   
    C020142,鍶   
    C020143,鋁擠型   
    C020145,鈾   
    C020147,鉬   
    C020148,鎂合金   
    C020149,稀土   
    C020191,釩   
    C020192,鈷   
    C099080,製鉛業   
    C020134,黃金   
    C020136,鉑   
    C020144,銀   
    C020146,鈀   
    C020170,貴金屬   
    C020011,鋼胚   
    C020012,鐵礦砂   
    C020020,熱軋鋼卷   
    C020090,冷軋鋼卷   
    C020100,鍍鋅鋼卷   
    C020120,烤漆鋼卷   
    C020160,鋼剪裁加工   
    C020180,鋼板   
    C020190,塗鍍鋼捲   
    C020990,板鋼   
    C099352,金屬礦采選   
     ,
車輛相關類    
    C015105,車燈   
    C022011,汽車保險杠   
    C022040,汽機車零部件   
    C022045,木床／車架   
    C022046,汽車鈑金   
    C022048,引擎相關   
    C022051,傳動系統   
    C022053,輪轂   
    C022054,活塞   
    C022062,轉向系統   
    C022063,剎車系統   
    C022064,懸吊系統   
    C022065,車用冷卻系統   
    C022080,車用電池   
    C022083,車用防盜系統   
    C022084,車用軸承   
    C022085,機車零部件   
    C022086,車用排氣系統   
    C022043,汽車空調   
    C022047,儀表盤   
    C022049,車用玻璃   
    C022050,汽車音響   
    C022055,汽車內飾   
    C022056,安全氣囊   
    C022061,汽車座椅   
    C022041,車用鑄件   
    C022042,車用鍛件   
    C022070,車用金屬成型   
    C022081,車用沖壓件   
    C022082,車用粉末冶金件   
    C022005,汽車製造   
    C022006,電動車   
    C022007,電動機車   
    C022010,汽車銷售   
    C022012,汽車融資   
    C022020,機車   
    C022030,沙灘車   
    C022031,汽車服務相關   
    C022032,自動駕駛車   
    C022910,車輛整車   
    C022911,特種車輛相關   
    C022912,客貨車輛相關   
    C099050,自行車   
     ,
電子類    
    C022052,車用電子   
    C022057,胎壓監測系統   
    C022058,倒車雷達   
    C022059,車載影音系統   
    C022067,行車紀錄器   
    C022068,倒車影像系統   
    C022069,抬頭顯示器(HUD)   
    C023015,面板業   
    C023020,中小尺寸面板   
    C023025,TFT-LCD   
    C023026,TN／STNLCD   
    C023031,LCM   
    C023036,電子紙   
    C023037,OLED   
    C023158,觸摸屏   
    C023016,面板零組件   
    C023027,背光源   
    C023029,偏光板   
    C023032,液晶   
    C023033,導電玻璃   
    C023034,玻璃基板   
    C023035,光學膜   
    C023038,玻璃基板加工   
    C023380,彩色濾光片   
    C023040,LED   
    C023041,LED晶粒   
    C023042,LED封裝   
    C023043,LED磊晶   
    C023045,紅外線傳輸模塊   
    C023046,LED照明產品   
    C023047,LED散熱基板   
    C023048,藍寶石基板   
    C023060,被動元器件   
    C023061,MLCC   
    C023062,貼片電阻   
    C023063,電容   
    C023064,電阻   
    C023066,電感   
    C023067,石英組件   
    C023068,鋁質電解電容   
    C023069,被動元器件上游   
    C023071,鉭質電解電容   
    C023072,塑膠膜電容器   
    C023073,熱敏電阻   
    C023074,濾波器   
    C023075,振盪器   
    C023076,壓敏電阻   
    C023080,電子其它   
    C023375,無塵室工程   
    C023377,事務機器   
    C023379,辦公用品設備   
    C023725,智能卡相關   
    C015040,UPS   
    C023050,電源供應器   
    C023051,變壓器   
    C023053,機殼表面處理   
    C023054,磁性材料   
    C023055,無線充電   
    C023070,機箱   
    C023120,連接器   
    C023130,其它零件   
    C023132,電池相關   
    C023134,模具沖壓   
    C023135,散熱風扇電機   
    C023137,樞紐   
    C023139,電子零件組件   
    C023153,散熱模塊   
    C023154,鎂鋁合金外殼   
    C023155,熱導管   
    C023391,DRAM模塊   
    C023393,Flash模塊   
    C023530,連接線材   
    C023590,音響設備及零件   
    C023610,撥碼開關   
    C023156,DRAM內存IC   
    C023157,SRAM內存IC   
    C023159,FLASH內存IC   
    C023162,DSL芯片組   
    C023164,網卡IC   
    C023165,集線器IC   
    C023166,無線網絡IC   
    C023168,衛星導航芯片組   
    C023171,智能卡IC   
    C023172,STBIC   
    C023173,圖形卡IC   
    C023174,調制解調器芯片組   
    C023176,CPU   
    C023177,DSP   
    C023178,馬達IC   
    C023179,電池保護IC   
    C023183,模擬IC   
    C023184,IO控制IC   
    C023185,其他IC   
    C023189,IC設計軟體   
    C023190,IC設計   
    C023191,芯片組   
    C023192,網絡通訊IC   
    C023193,LCD驅動IC   
    C023195,消費性IC   
    C023196,光驅驅動IC   
    C023197,LCD控制IC   
    C023198,PC外圍IC   
    C023199,MCU   
    C023206,設計IP   
    C023207,影音IC   
    C023209,ASIC   
    C023221,記憶卡IC   
    C023222,CMOS芯片   
    C023223,嵌入式芯片   
    C023224,感測元件   
    C023225,生物識別芯片   
    C023226,高速傳輸芯片   
    C023227,SSD主控芯片   
    C023228,電力線載波芯片   
    C023229,安防芯片   
    C023332,LED驅動IC   
    C023333,數字電視IC   
    C023334,觸摸芯片   
    C023336,MEMS   
    C023200,IC封裝   
    C023201,IC測試   
    C023203,IC封裝測試   
    C023204,LCD驅動IC封裝   
    C023100,玻纖布   
    C023103,激光鑽孔機、鑽頭   
    C023105,PCB原材料   
    C023152,撓性印製電路板   
    C023161,撓性覆銅板   
    C023210,印製電路板   
    C023211,覆銅板   
    C023212,銅箔   
    C023219,印製電路板相關   
    C023230,顯示器   
    C023231,投影機   
    C023232,投影機元件   
    C023234,液晶電視   
    C023235,顯示器元件   
    C023236,3D顯示相關   
    C023237,LCD顯示器   
    C023238,數字看板   
    C023270,光盤   
    C023271,盤片預錄   
    C023273,網絡電話(VOIP)   
    C023274,無線網絡設備系統(WLAN)   
    C023280,通訊設備   
    C023283,電信設備   
    C023286,衛星通訊設備   
    C023287,資安設備   
    C023298,天線   
    C023310,接入設備   
    C023311,數據機   
    C023312,5G通訊設備   
    C023314,物聯網裝置   
    C023315,局域網絡   
    C023401,通訊設備零組件   
    C023402,衛星導航   
    C023403,小型衛星地面站   
    C023404,基站   
    C023405,網絡交換機   
    C023406,低噪聲降頻器   
    C023407,4G通訊設備   
    C023408,RFID相關   
    C023409,近場通訊(NFC)   
    C023288,手機   
    C023293,手機製造   
    C023399,智能手機   
    C023285,電信/數據服務   
    C023290,通訊服務   
    C023502,移動通訊   
    C023350,計算機經銷商   
    C023351,通訊經銷商   
    C023352,IC零組件經銷商   
    C023353,其它電子經銷商   
    C023357,3C通路商   
    C023358,半導體材料通路商   
    C023359,電子產品銷售管道   
    C023313,信息安全   
    C023340,系統集成   
    C023341,操作系統   
    C023342,電子支付   
    C023360,軟件   
    C023361,軟件包   
    C023363,數據庫   
    C023364,企業資源規劃   
    C023365,大數據   
    C023366,客戶關係管理   
    C023367,軟件銷售渠道   
    C023368,應用軟件   
    C023369,人工智能   
    C023371,虛擬現實   
    C023081,檢測驗證服務   
    C023104,PCB其他設備   
    C023326,半導體設備   
    C023328,IC測量設備   
    C023370,設備儀器廠商   
    C023372,LED設備   
    C023373,面板設備   
    C023374,觸摸屏設備   
    C023376,光伏設備   
    C023378,測量儀器   
    C023852,封測用設備   
    C023160,非易失性存儲器   
    C023170,DRAM   
    C023180,IC生產   
    C023181,晶圓代工   
    C023187,砷化鎵相關   
    C023319,光通信元件磊晶(光通信元件外延)   
    C023320,光罩   
    C023321,磊晶(外延)   
    C023322,硅晶圓   
    C023323,化合物晶圓   
    C023324,氧化物晶圓   
    C023329,藍寶石晶棒   
    C023390,IC製造   
    C023394,分立器件   
    C023395,二極管   
    C023396,晶體管   
    C023400,Internet應用與服務   
    C023411,搜索引擎   
    C023412,門戶網站   
    C023413,電商平台   
