INFO_TIME,MATCH_TIME,PROD,ITEM,PRICE,QTY,AMOUNT,MATCH_BUY_CNT,MATCH_SELL_CNT
8450010,8450009,TXFH7,128,10310,732,732,202,349
8450011,8450010,TXFH7,128,10309,4,736,206,350
8450011,8450010,TXFH7,128,10309,1,737,207,351
8450011,8450010,TXFH7,128,10310,1,738,208,352
8450011,8450010,TXFH7,128,10310,1,739,209,353
8450011,8450010,TXFH7,128,10309,2,741,210,354
8450011,8450011,TXFH7,128,10309,1,742,211,355
8450013,8450011,TXFH7,128,10310,1,743,212,356
8450013,8450011,TXFH7,128,10310,1,744,213,357
8450013,8450012,TXFH7,129,10310,2,749,214,362
8450013,8450012,TXFH7,129,10311,3,749,214,362
8450013,8450012,TXFH7,129,10310,1,761,217,363
8450013,8450012,TXFH7,129,10309,11,761,217,363
8450013,8450013,TXFH7,128,10309,1,762,218,364
8450017,8450015,TXFH7,128,10311,1,763,219,365
8450017,8450016,TXFH7,128,10311,10,773,220,372
8450018,8450017,TXFH7,128,10311,1,774,221,373
8450018,8450017,TXFH7,128,10311,1,775,222,374
8450018,8450017,TXFH7,128,10310,1,776,223,375
8450019,8450018,TXFH7,128,10310,1,777,224,376
8450021,8450020,TXFH7,128,10312,1,778,225,377
8450031,8450023,TXFH7,128,10309,3,781,228,380
8450031,8450026,TXFH7,128,10312,1,782,229,381
8450031,8450027,TXFH7,128,10312,20,802,230,392
8450043,8450035,TXFH7,128,10310,1,803,231,393
8450043,8450037,TXFH7,128,10312,2,805,232,394
8450043,8450037,TXFH7,128,10312,2,807,233,395
8450056,8450045,TXFH7,128,10310,2,809,235,397
8450056,8450050,TXFH7,129,10309,3,819,239,398
8450056,8450050,TXFH7,129,10308,7,819,239,398
8450056,8450051,TXFH7,130,10311,1,829,240,405
8450056,8450051,TXFH7,130,10312,2,829,240,405
8450056,8450051,TXFH7,130,10313,7,829,240,405
8450056,8450052,TXFH7,128,10313,2,831,241,407
8450056,8450053,TXFH7,128,10310,1,832,242,408
8450056,8450053,TXFH7,128,10313,2,834,243,410
8450056,8450053,TXFH7,128,10313,1,835,244,411
8450068,8450058,TXFH7,128,10311,1,836,245,412
8450068,8450058,TXFH7,128,10312,2,838,246,414
8450068,8450059,TXFH7,128,10311,1,839,247,415
8450068,8450059,TXFH7,128,10313,2,841,248,417
8450068,8450060,TXFH7,128,10311,2,843,250,418
8450068,8450060,TXFH7,128,10310,2,845,252,419
8450068,8450061,TXFH7,128,10312,2,847,253,421
8450068,8450061,TXFH7,128,10310,1,848,254,422
8450068,8450063,TXFH7,129,10312,3,858,255,427
8450068,8450063,TXFH7,129,10313,7,858,255,427
8450081,8450070,TXFH7,128,10313,1,859,256,428
8450081,8450075,TXFH7,128,10311,1,860,257,429
8450081,8450075,TXFH7,128,10311,3,863,260,430
8450081,8450078,TXFH7,128,10313,1,864,261,431
8450093,8450081,TXFH7,128,10313,12,876,262,437
8450093,8450082,TXFH7,128,10312,1,877,263,438
8450093,8450083,TXFH7,128,10312,1,878,264,439
8450093,8450083,TXFH7,128,10313,2,880,265,441
8450093,8450085,TXFH7,128,10312,1,881,266,442
8450093,8450086,TXFH7,128,10312,1,882,267,443
8450093,8450090,TXFH7,128,10312,1,883,268,444
8450093,8450092,TXFH7,128,10313,2,885,269,445
8450106,8450097,TXFH7,128,10312,1,886,270,446
8450106,8450097,TXFH7,129,10312,6,898,279,447
8450106,8450097,TXFH7,129,10311,6,898,279,447
8450106,8450104,TXFH7,128,10310,2,900,281,449
8450118,8450106,TXFH7,128,10310,1,901,282,450
8450118,8450106,TXFH7,128,10310,1,902,283,451
8450118,8450106,TXFH7,128,10310,1,903,284,452
8450118,8450107,TXFH7,128,10310,1,904,285,453
8450118,8450107,TXFH7,128,10310,2,906,286,454
8450118,8450107,TXFH7,128,10310,1,907,287,455
8450118,8450107,TXFH7,131,10310,1,927,288,470
8450118,8450107,TXFH7,131,10312,2,927,288,470
8450118,8450107,TXFH7,131,10313,10,927,288,470
8450118,8450107,TXFH7,131,10314,7,927,288,470
8450118,8450110,TXFH7,128,10312,1,928,289,471
8450118,8450113,TXFH7,128,10312,2,930,290,472
8450118,8450114,TXFH7,128,10314,1,931,291,473
8450118,8450114,TXFH7,128,10312,2,933,292,474
8450118,8450115,TXFH7,128,10312,1,934,293,475
8450118,8450117,TXFH7,129,10311,2,938,297,476
8450118,8450117,TXFH7,129,10310,2,938,297,476
8450118,8450117,TXFH7,129,10310,2,948,305,477
8450118,8450117,TXFH7,129,10309,8,948,305,477
8450118,8450117,TXFH7,128,10312,1,949,306,478
8450131,8450118,TXFH7,128,10311,1,950,307,479
8450131,8450118,TXFH7,128,10309,1,951,308,480
8450131,8450119,TXFH7,128,10312,1,952,309,481
8450131,8450119,TXFH7,128,10309,1,953,310,482
8450131,8450121,TXFH7,128,10311,1,954,311,483
8450131,8450121,TXFH7,128,10311,4,958,312,484
8450131,8450121,TXFH7,128,10312,1,959,313,485
8450131,8450121,TXFH7,128,10312,1,960,314,486
8450131,8450122,TXFH7,128,10310,1,961,315,487
8450131,8450122,TXFH7,129,10312,1,963,316,489
8450131,8450122,TXFH7,129,10313,1,963,316,489
8450131,8450123,TXFH7,129,10312,1,966,317,492
8450131,8450123,TXFH7,129,10313,2,966,317,492
8450131,8450124,TXFH7,128,10314,4,970,318,494
8450131,8450125,TXFH7,128,10313,1,971,319,495
8450131,8450126,TXFH7,128,10313,2,973,320,496
8450131,8450126,TXFH7,128,10314,1,974,321,497
8450131,8450126,TXFH7,128,10314,2,976,322,499
8450131,8450127,TXFH7,130,10311,1,982,328,500
8450131,8450127,TXFH7,130,10310,3,982,328,500
8450131,8450127,TXFH7,130,10309,2,982,328,500
8450131,8450127,TXFH7,132,10311,2,990,329,508
8450131,8450127,TXFH7,132,10312,1,990,329,508
8450131,8450127,TXFH7,132,10313,1,990,329,508
8450131,8450127,TXFH7,132,10314,3,990,329,508
8450131,8450127,TXFH7,132,10315,1,990,329,508
8450131,8450127,TXFH7,128,10315,1,991,330,509
8450131,8450128,TXFH7,128,10312,1,992,331,510
8450131,8450129,TXFH7,129,10314,1,997,332,515
8450131,8450129,TXFH7,129,10315,4,997,332,515
8450131,8450130,TXFH7,128,10315,1,998,333,516
8450131,8450130,TXFH7,130,10313,2,1002,337,517
8450131,8450130,TXFH7,130,10312,1,1002,337,517
8450131,8450130,TXFH7,130,10311,1,1002,337,517
8450143,8450131,TXFH7,128,10311,2,1004,339,518
8450143,8450132,TXFH7,128,10313,3,1007,340,521
8450143,8450132,TXFH7,128,10311,1,1008,341,522
8450143,8450135,TXFH7,130,10311,1,1014,347,528
8450143,8450135,TXFH7,130,10310,3,1014,347,528
8450143,8450135,TXFH7,130,10309,2,1014,347,528
8450143,8450135,TXFH7,128,10311,1,1015,348,529
8450143,8450136,TXFH7,129,10309,1,1017,350,530
8450143,8450136,TXFH7,129,10308,1,1017,350,530
8450143,8450137,TXFH7,132,10311,2,1029,351,541
8450143,8450137,TXFH7,132,10312,1,1029,351,541
8450143,8450137,TXFH7,132,10313,3,1029,351,541
8450143,8450137,TXFH7,132,10314,5,1029,351,541
8450143,8450137,TXFH7,132,10315,1,1029,351,541
8450143,8450138,TXFH7,128,10315,12,1041,352,543
8450143,8450138,TXFH7,128,10315,4,1045,353,545
8450143,8450139,TXFH7,128,10315,1,1046,354,546
8450143,8450139,TXFH7,128,10312,2,1048,356,547
8450143,8450142,TXFH7,130,10311,1,1051,359,550
8450143,8450142,TXFH7,130,10310,1,1051,359,550
8450143,8450142,TXFH7,130,10309,1,1051,359,550
8450143,8450143,TXFH7,128,10308,1,1052,360,551
8450143,8450143,TXFH7,129,10311,1,1054,361,553
8450143,8450143,TXFH7,129,10312,1,1054,361,553
8450143,8450143,TXFH7,128,10313,2,1056,362,555
8450156,8450145,TXFH7,129,10313,1,1059,363,558
8450156,8450145,TXFH7,129,10314,2,1059,363,558
8450156,8450146,TXFH7,128,10314,1,1060,364,559
8450156,8450149,TXFH7,129,10312,1,1062,366,560
8450156,8450149,TXFH7,129,10311,1,1062,366,560
