INFO_TIME,PROD,BUY_ORDER,BUY_QTY,SELL_ORDER,SELL_QTY
8300131,TXFH7,7,14,11,58
8300631,TXFH7,48,163,62,147
8301131,TXFH7,59,181,71,159
8301631,TXFH7,77,257,83,192
8302131,TXFH7,79,273,89,209
8302631,TXFH7,85,285,101,231
8303131,TXFH7,88,313,110,362
8303631,TXFH7,93,319,114,379
8304131,TXFH7,109,344,128,407
8304631,TXFH7,122,399,143,446
8305131,TXFH7,129,388,146,479
8305631,TXFH7,137,392,150,487
8310131,TXFH7,141,396,159,552
8310631,TXFH7,147,408,174,574
8311131,TXFH7,150,423,192,608
8311631,TXFH7,160,445,222,821
8312131,TXFH7,172,502,240,843
8312631,TXFH7,174,504,243,850
8313131,TXFH7,176,506,247,868
8313631,TXFH7,177,508,249,874
8314131,TXFH7,179,513,251,877
8314631,TXFH7,182,516,252,878
8315131,TXFH7,186,528,256,941
8315631,TXFH7,187,529,256,941
8320131,TXFH7,189,541,258,943
8320631,TXFH7,194,565,260,992
8321131,TXFH7,199,572,260,993
8321631,TXFH7,211,626,261,994
8322131,TXFH7,210,628,268,1055
8322631,TXFH7,216,649,269,1056
8323131,TXFH7,221,654,277,1072
8323631,TXFH7,220,650,274,1065
8324131,TXFH7,222,685,275,1066
8324631,TXFH7,228,691,275,1067
8325131,TXFH7,229,765,279,1071
8325631,TXFH7,231,769,278,1070
8330131,TXFH7,233,769,279,1071
8330631,TXFH7,231,765,282,1074
8331131,TXFH7,238,773,281,1073
8331631,TXFH7,235,766,286,1079
8332131,TXFH7,237,768,291,1086
8332631,TXFH7,237,768,288,1083
8333131,TXFH7,248,784,290,1086
8333631,TXFH7,250,790,291,1086
8334131,TXFH7,254,796,296,1105
8334631,TXFH7,254,796,295,1104
8335131,TXFH7,252,794,301,1110
8335631,TXFH7,244,788,299,1108
8340131,TXFH7,247,801,301,1110
8340631,TXFH7,248,802,303,1112
8341131,TXFH7,250,807,303,1112
8341631,TXFH7,256,829,305,1115
8342131,TXFH7,257,830,306,1117
8342631,TXFH7,263,837,309,1120
8343131,TXFH7,257,828,315,1145
8343631,TXFH7,276,848,318,1151
8344131,TXFH7,294,866,320,1153
8344631,TXFH7,316,898,322,1154
8345131,TXFH7,327,917,324,1157
8345631,TXFH7,329,919,323,1155
8350131,TXFH7,331,921,326,1158
8350631,TXFH7,284,873,330,1171
8351131,TXFH7,294,885,333,1174
8351631,TXFH7,294,885,333,1174
8352131,TXFH7,323,913,333,1174
8352631,TXFH7,356,925,338,1180
8353131,TXFH7,362,931,339,1182
8353631,TXFH7,311,880,343,1185
8354131,TXFH7,318,891,345,1187
8354631,TXFH7,322,895,346,1188
8355131,TXFH7,326,913,351,1199
8355631,TXFH7,322,909,352,1201
8360131,TXFH7,326,920,352,1201
8360631,TXFH7,333,926,355,1204
8361131,TXFH7,354,947,358,1208
8361631,TXFH7,328,922,364,1219
8362131,TXFH7,332,926,367,1225
8362631,TXFH7,332,927,369,1227
8363131,TXFH7,332,927,372,1234
8363631,TXFH7,335,932,373,1231
8364131,TXFH7,333,930,374,1232
8364631,TXFH7,336,934,374,1232
8365131,TXFH7,336,934,376,1234
8365631,TXFH7,339,941,375,1234
8370131,TXFH7,364,976,374,1232
8370631,TXFH7,372,983,377,1235
8371131,TXFH7,375,990,379,1296
8371631,TXFH7,377,992,383,1305
